DATE,DAYS,CASES_DAILY,CASES_CF,CASES_DAILY_CIP,CASES_CF_CIP,DEATHS_DAILY,DEATHS_CF,DEATHS_CF_CIP,DEATHS_DAILY_CIP,CURED_DAILY,CURED_CF,CURED_DAILY_CIP,CURED_CF_CIP,Train or Test
16-03-20,1,3,3,0,0,0,0,0,0,0,0,0,0,Train
17-03-20,2,0,3,-1,0,0,0,0,0,0,0,0,0,Train
18-03-20,3,4,7,-1,1.333,0,0,0,0,0,0,0,0,Train
19-03-20,4,4,11,0,0.571,1,1,0,0,0,0,0,0,Train
20-03-20,5,2,13,-0.5,0.182,0,1,-1,0,0,0,0,0,Train
21-03-20,6,4,17,1,0.308,1,2,-1,1,0,0,0,0,Train
22-03-20,7,3,20,-0.25,0.176,0,2,-1,0,5,5,0,0,Train
23-03-20,8,6,26,1,0.3,1,3,-1,0.5,0,5,-1,0,Train
24-03-20,9,6,32,0,0.231,1,4,0,0.333,0,5,0,0,Train
25-03-20,10,0,0,-1,-1,1,5,0,0.25,2,7,-1,0.4,Train
26-03-20,11,5,37,-1,1,0,5,-1,0,4,11,1,0.5711,Train
27-03-20,12,4,41,-0.2,0.108,0,5,0,0,0,11,-1,0,Train
28-03-20,13,0,41,-1,0,0,5,0,0,4,15,-1,0.364,Train
29-03-20,14,0,41,-1,0,0,5,0,0,0,15,-1,0,Train
30-03-20,15,1,42,-1,0.024,0,5,0,0,4,19,-1,0.267,Train
31-03-20,16,2,44,1,0.048,0,5,0,0,6,25,0.5,0.316,Train
01-04-20,17,3,47,0.5,0.068,1,6,0,0.2,0,25,-1,0,Train
02-04-20,18,2,49,-0.333,0.043,0,6,0,0,0,25,0,0,Train
03-04-20,19,5,54,1.5,0.102,0,6,0,0,0,25,0,0,Train
04-04-20,20,9,63,0.8,0.167,2,8,0,0.333,5,30,0,0.2,Train
05-04-20,21,18,81,1,0.286,1,9,-0.5,0.125,3,33,-0.4,0.1,Train
06-04-20,22,35,116,0.944,0.432,3,12,2,0.333,0,33,-1,0,Train
07-04-20,23,41,157,0.171,0.353,5,17,0.667,0.417,0,33,0,0,Train
08-04-20,24,54,211,0.317,0.343,3,20,-0.4,0.176,0,33,0,0,Train
09-04-20,25,112,323,1.074,0.531,1,21,-0.667,0.05,0,33,0,0,Train
10-04-20,26,94,417,-0.161,0.291,6,27,5,0.286,0,33,0,0,Train
11-04-20,27,58,475,-0.383,0.139,3,30,-0.5,0.111,3,36,0,0.091,Train
12-04-20,28,139,614,1.397,0.293,4,34,0.333,0.133,3,39,0,0.083,Train
13-04-20,29,182,796,0.309,0.296,5,39,0.25,0.147,3,42,0,0.077,Train
